Code,Brand,Category,Model,Output Power,Key Specs,Price (Toman)
JB22,JBL,Portable Speaker,XTREME 5 - Black,130W (AC) / 90W (Battery),"Battery 24h+, IP68, Shoulder strap","66,500,000 تومان"
JB23,JBL,Portable Speaker,CHARGE 6,45W RMS (30W+15W),"Battery 28h, IP68, Powerbank, Lossless USB-C","31,500,000 تومان"
JB24,JBL,Portable Speaker,CLIP 5,7W,"Battery 12h, IP67, Carabiner clip","10,900,000 تومان"
JB25,JBL,Portable Speaker,GO 5,4.8W,"Battery 8h+, IP67, Compact","10,900,000 تومان"
JB26,JBL,Headphones,TUNE 730BT,-,"Over-ear, Bluetooth 6.0, Battery 76h, Multipoint","10,500,000 تومان"
JB27,JBL,Headphones,TUNE 770NC,-,"Over-ear ANC, Battery 70h (ANC off) / 44h (ANC on)","23,500,000 تومان"
JB28,JBL,Soundbar,BAR 2.1 MK2,300W Max,"2.1ch, Wireless 6.5"" subwoofer, HDMI ARC","69,500,000 تومان"
JB29,JBL,Soundbar,BAR 500,590W Max,"5.1ch, Dolby Atmos, Wireless 10"" subwoofer","139,500,000 تومان"
JB30,JBL,Soundbar,BAR 500 MK2,750W Max (375W RMS),"5.1ch, Dolby Atmos + DTS Virtual:X, 10"" sub","115,500,000 تومان"
JB31,JBL,Soundbar,BAR 800 MK2,-,"5.1.2ch, Dolby Atmos, Wireless sub + rear speakers","165,500,000 تومان"
HK01,Harman Kardon,Home Speaker,SOUNDSTICKS 5 - White,-,"2.1ch iconic design, Bluetooth","83,500,000 تومان"
HK02,Harman Kardon,Home Speaker,AURA STUDIO 5 - Black (EU),160W RMS (2x20W+1x20W+100W sub),"360° ambient light, Bluetooth","58,500,000 تومان"
HK03,Harman Kardon,Home Speaker,AURA STUDIO 4 - Black (EU),80W RMS (2x15W+50W sub),"360° light, Bluetooth","53,500,000 تومان"
HK04,Harman Kardon,Home Speaker,ONYX STUDIO 9 - Grey,50W RMS,"Bluetooth 5.3, Battery 8h, USB charge-out","42,500,000 تومان"
HK05,Harman Kardon,Home Speaker,ONYX STUDIO 9 - Black,50W RMS,"Bluetooth 5.3, Battery 8h, USB charge-out","42,500,000 تومان"
SO01,Sony,Party Speaker,ULT900 (ULT TOWER 9),-,"ULT Bass modes, 25h battery, Party Connect, Karaoke","155,500,000 تومان"
SO02,Sony,Party Speaker,XV900 (SRS-XV900),-,"Omnidirectional sound, 25h battery, Party Connect","135,500,000 تومان"
SO03,Sony,Party Speaker,XP700 (SRS-XP700),-,"X-Balanced speakers, IPX4, Party Connect","88,500,000 تومان"
SO04,Sony,Party Speaker,XP500 (SRS-XP500),-,"X-Balanced speakers, IPX4, Party Connect","78,500,000 تومان"
HO01,Hopestar,Party Speaker,PARTY 500,~100W,"Bluetooth, LED lights, Battery powered","27,500,000 تومان"
HO02,Hopestar,Party Speaker,H90,~580W (claimed),"3-way 6-speaker, Bluetooth, Party lights","33,500,000 تومان"
